年份,試題編號,標準答案,試題內容
110年三特情境實務,第1題,D,"1你是警察分局巡官，在督導派出所勤務時，對於執勤同仁作為，下列敘述何者正確？
警察臨檢之規定，授權警察人員得不顧時間、地點及對象任意臨檢，亦得為攔檢及隨機檢查
警察執法之心證確定程度與職權干預強度應成反比，故應有相當理由才能攔停交通工具
警察執法應遵守比例原則，得由現場員警決定採取報復性或懲罰性執行手段，以達成執行績效
警察執法應基於法定要件與程序之正當合理性，並以整體考量，以形諸裁量是否..."
110年三特情境實務,第2題,A,"2你是派出所所長，和警員A分別騎乘2輛警用機車巡邏，途中發現男子甲鬼鬼祟祟窺視附近住
戶，甲見員警神色慌張，即快步往巷弄離開，你和A依警察職權行使法攔查，基於執勤安全，下
列處置作為何者不適當？
盤檢時警用機車宜停放在甲之後方安全反應距離，機車保持發動，以維持機動性
盤查時，你和A應分別在甲之左、右或前、後，1人盤查1人警戒
甲出示身分證明文件時，從皮夾中掉落疑似安非他命毒品1小包，甲抗拒逮..."
110年三特情境實務,第4題,C,"4你執行路檢勤務時，見1部機車違規闖紅燈即攔停欲舉發，惟該駕駛人堅稱自己未闖紅燈，並提
出異議，下列何種處置最適當？
製單舉發，如不願簽名，視為不服稽查取締之行為
斥責後不予製單舉發，令其離去
駕駛人對違規事實有異議，應於通知單記明其事件情節及處理意見，繼續完成製單告發
依警察職權行使法如認異議有理由即暫停舉發；無理由者繼續完成製單告發，並依駕駛人請求
另行開立異議紀錄表"
110年三特情境實務,第5題,B,"5派出所警員甲所負責的警勤區內，有治安顧慮人口乙，有關甲對乙的查訪方式，下列何者錯誤？
針對乙的查訪期間，以刑之執行完畢出獄後3年內為限
若乙是假釋犯，雖假釋經撤銷，但其先前假釋期間的查訪，仍可列入後續查訪期間計算
甲接獲情資，乙的活動在其他分局轄區，應填具「治安顧慮人口動態通報單」，通報他轄分局查
訪確認
查訪對象未居住本轄時，他轄分局接獲通報後，乙所在地之警勤區員警，應在5日內對乙實施..."
110年三特情境實務,第6題,A,"6你擔任派出所所長，因民眾檢舉轄區某養生館從事妨害風化之情事，於是喬裝客人前往調查，依
照目前司法實務見解，下列敘述何者錯誤？
便衣訪查時，為蒐證必要，得與有意圖營利從事性交易女子有肢體接觸，俟違法要件成立時，
再聲請搜索票取締
喬裝客人調查妨害風化，採取誘捕偵查手段蒐證，不得逾越必要及正當手段
雖具有司法警察身分，仍屬證人，有補強法則之適用
執行偵查輔助機關任務時，具有追緝犯罪之公益性，..."
110年三特情境實務,第7題,D,"7甲擔任派出所所長，某日轄區發生酒後鬧事，據報前往處理，而酒客乙欲攻擊員警，甲即使用警
棍自衛並制伏酒客乙，下列敘述何者錯誤？
甲制伏乙上銬後，應立即停止使用警棍
甲使用警棍時，應注意勿傷及其他之人
甲使用警棍時，如非情況急迫，應注意勿傷及其人致命之部位
因甲係使用警棍，依法無須將經過情形，即時報告該管長官"
110年三特情境實務,第8題,D,"8女童甲由家屬帶同前來派出所報案，指稱暑期居於他轄親戚住家期間，鄰居乙男以金錢誘騙並對
女童為強制性交，本案應如何處置？
本案為他轄案件，應即行通知發生地警察機關接辦
乙男如未滿18歲則屬告訴乃論案件，應詢明被害人及家屬是否提告
本案為兒童被害案件，應即通報婦幼警察隊指派具專業人士協助詢問
應通知警察（分）局性侵害案件專責處理人員接案處理，同時知會防治組家庭暴力防治官"
110年三特情境實務,第9題,D,"9你帶隊前往犯罪嫌疑人甲之住宅執行搜索，於執行過程中甲妻突然告知你，她常遭甲毆打，並展
示身上傷痕，甲立即喝斥妻住口，並高舉右手掌摑妻子致其頭部受傷，你當場應採取何種作為？
制止暴行並規勸甲冷靜，告知甲妻至轄區派出所報案
將甲妻帶回偵查隊，交由家庭暴力防治官處理
執行完搜索任務後，再協助甲妻聲請保護令
逕行逮捕甲"
110年三特情境實務,第10題,B,"10你是警察分局長，擔任集會遊行現場指揮官，下列敘述何者正確？
群眾如未依核准路線遊行，應命令解散
對違反集會遊行活動，可採取舉牌警告、制止或命令解散等措施
群眾違法占據重要幹道，嚴重影響社會秩序，應即實施驅離
如要強制驅離作為，依現行法規定應得地方政府首長之同意，始得為之"
110年三特情境實務,第11題,B,"11你負責偵辦一件分屍案，該屍體及四肢散置於偏僻河堤旁，疑似曾遭野狗拖拉挖食，現場及附近
道路無監視器，且屍體身分不明，鑑識人員到場後表示指紋均已遭磨滅，關於先期之查察作為，
下列何者不適當？
拼湊屍體，確認被害人人數 指紋已遭磨滅，以無名屍作業方式處理
查察近期失蹤人口 提供屍體上之特徵，透過媒體供家屬指認"
110年三特情境實務,第12題,A,"12你是派出所所長，於勤前教育時提示所屬員警應遵守提審法，以保障人身自由權利，下列敘述何
者錯誤？
逮捕、拘禁之機關，如無特殊情況致解交困難，應於收受提審票後，24小時內將被逮捕、拘禁
人解交法院
受聲請法院，於繫屬後48小時內，應向逮捕、拘禁之機關發提審票，並即通知該機關之直接上
級機關
人民被逮捕、拘禁時，逮捕、拘禁之機關應即將逮捕、拘禁之原因、時間、地點及得依提審法
聲請提審之意旨，以..."
110年三特情境實務,第13題,A,"13你是派出所所長，依據警察偵查犯罪手冊指導所屬同仁處理刑案，有關對犯罪案件管轄責任區分
之規定，下列敘述何者正確？
刑事案件原則上由犯罪地之警察機關管轄
犯罪行為之發生或結果橫跨二個以上警察機關管轄區域者，由其上級機關指定管轄
殺人犯罪之地點屬專業警察機關管轄區域者，一律由發生地所屬縣市警察機關管轄
當面取款之詐欺案件，由受害者住居地之警察機關為主辦單位
代號：50150 -50550
..."
110年三特情境實務,第14題,B,"14你是偵查隊分隊長，指導所屬同仁有關偵查辯護之處置，下列敘述何者錯誤？
偵查中選任辯護人不以律師為限
每一犯罪嫌疑人選任之辯護人不得逾3人
警詢階段中，辯護人不得檢閱、抄錄或攝影卷宗及證物
偵查中之辯護人不得於執行搜索或扣押時在場"
110年三特情境實務,第15題,B,"15你是派出所所長，指導所屬員警辦理刑案時，有關搜索及扣押之處置，下列敘述何者錯誤？
搜索應保守秘密，並應注意受搜索人之名譽
緩刑人住居之處所，夜間均得入內搜索
受搜索人抗拒搜索者，得用強制力搜索之，但不得逾必要之程度
搜索軍事處所，應通知該管長官或可為其代表之人在場，並應以會同該管憲兵單位執行為原則"
110年三特情境實務,第16題,B,"16你是派出所所長或分局之巡官，依據警察偵查犯罪手冊之規定，有關刑案逐級報告程序及時機之
敘述，下列何者錯誤？
分駐所、派出所或勤務單位受理報案或發現犯罪，均應立即通報分局
分局接獲派出所報告發生之刑案，應迅速通知偵查隊偵辦，並即報告刑事警察局偵防犯罪指揮
中心列管處理
分局受理或接獲分駐所、派出所或其他單位轉報發生之刑案，均應立即報告主管，並轉報警察
局勤務指揮中心列管
刑案發生與破獲之..."
110年三特情境實務,第17題,C,"17近期有民意代表針對交通罰單浮濫，舉發錯誤比例過高提出批評，你是交通分隊長，為提升執法
品質，降低錯誤率，對於同仁執行交通違規逕行舉發案件勤教內容，下列敘述何者正確？
蛇行、危險方式駕車或2輛以上之汽車競駛或競技，可能有觸犯公共危險罪之虞，雖有科學儀
器取得證據資料證明其違規行為，仍不宜逕行舉發
某國小學校交通服務隊現場導護人員在執行導護工作時，簽證檢舉校門口違規停車，雖未檢附
違規車輛照片..."
110年三特情境實務,第18題,C,"18你於勤務中發現交通違規並進行舉發，如當事人不願意簽名，或不願收受通知單，下列何種處置
不適當？
不願意簽名時，註明「拒簽」及其事由，仍將通知聯交付
不願收受通知聯時，註明「拒收」，並告知應到案日期及處所
拒簽又不願收受通知聯，依警察職權行使法將其帶回駐地查證
將拒收的通知聯連同移送聯一併移送處理"
110年三特情境實務,第19題,C,"19你帶班執行交通違規稽查勤務，對於不服稽查逃逸者，應當場予以攔截舉發，若當場不能攔截，
則逕行舉發，下列何者非屬不服稽查取締之要件？
拒絕出示駕照、行照 拒絕靠路邊接受稽查
對於違規事實提出異議，拒絕簽名 過程中藉故叫囂，不配合稽查"
110年三特情境實務,第20題,B,"20某人向警察檢舉違規停車事件，到場處理員警發現違規車輛為外交車輛（「外」字車牌），如果你
是該員警，下列何者是適當的處置方式？
可對駕駛人違規情事依法舉發處理，駕駛人不配合時，可直接扣留其駕照
駕駛人若為外國駐華機構官員，應予以適當禮遇，態度懇切，可扣留其駕照，對其違規情事依
法舉發處理
駕駛人若為外國駐華機構官員，不得扣留其駕照，應予以適當禮遇，態度懇切，對其違規情事
依法舉發處理
駕..."
112年三特警察情境,第1題,B,"1你是派出所所長，帶領員警執行路檢勤務，依警察職權行使法第6條之攔檢要件規定，基於防止
犯罪，或處理重大公共安全或社會秩序事件而有必要，得經由下列何種程序，對行經指定公共場
所、路段及管制站者進行攔停檢查？
合理懷疑其有犯罪之嫌疑者
行經分局長所指定公共場所者
有事實足認其對已發生之犯罪知情者
有事實足認為防止他人生命之具體危害而有查證其身分之必要者"
112年三特警察情境,第2題,C,"2你是派出所所長，於帶領所屬員警執行巡邏勤務中之盤查盤檢人車作業程序，下列敘述何者錯誤？
所長親自主持勤前教育，檢查服儀及攜行裝具，宣達勤務紀律及要求應遵守事項
依客觀、合理判斷易生危害之交通工具，得對之實施盤查
對人民查證身分時，得詢問基本資料、犯罪嫌疑與動機，並令其出示身分證明文件
執行盤查時，若有明顯事實足認有攜帶傷害生命身體之物，得檢查其身體及所攜帶之物
代號：50150－5055..."
112年三特警察情境,第3題,A,"3內政部警政署為遏止機關內部不實檢控之風氣，訂有警察機關接獲匿名檢舉案件之查處原則；若
甲是某警察局督察室之督察員，於接獲此類匿名檢舉黑函時，有關甲處置方式之敘述，下列何者
錯誤？
凡為匿名案件，一律簽請機關首長核定後，逕行簽結，不予調查
若有挾嫌或虛構情事，嗣查明檢舉人真實身分及動機後，應依法嚴懲
應採取保密措施，非必要不得與被檢舉人直屬主官討論檢舉內容
應秘密側訪與案件有關人員，以瞭解..."
112年三特警察情境,第4題,D,"4你是派出所所長，實施勤前教育時，指導員警執行有關治安顧慮人口查訪，下列指導作為何者
錯誤？
曾犯刑法第306條無故侵入住宅罪者，非屬治安顧慮人口
治安顧慮人口查訪期間，自刑期執行完畢或假釋出獄後，每個月查訪1次，查訪3年，期滿改
列一般人口；必要時，得增加查訪次數
警察實施查訪，應於日間為之。但與查訪對象約定者，不在此限
治安顧慮人口查訪項目、方式及其他應遵行事項之辦法，由內政部警政署定..."
